COUNTRY,Country,WEEK,GENDER,Gender,Age,VARIABLE,Variable,YEAR,Year,Value
CZE,Czech Republic,46,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,2.2
CZE,Czech Republic,46,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,8.2
NLD,Netherlands,3,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,-127.4
NLD,Netherlands,3,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,569.6
NLD,Netherlands,3,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2022,2022,-73.4
SWE,Sweden,37,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,3.4
SWE,Sweden,37,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,1.4
POL,Poland,22,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,488.4
POL,Poland,22,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,845.4
FIN,Finland,17,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,115.8
FIN,Finland,17,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,-6.2
FIN,Finland,17,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2022,2022,87.8
LTU,Lithuania,22,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-5.6
LTU,Lithuania,22,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-10.6
AUS,Australia,5,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,115.6
AUS,Australia,5,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,261.6
AUS,Australia,5,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2022,2022,824.6
NOR,Norway,10,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-0.6
NOR,Norway,10,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,0.4
NOR,Norway,10,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,-3.6
SVN,Slovenia,20,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,0.4
SVN,Slovenia,20,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,6.4
SVN,Slovenia,20,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,5.4
CHL,Chile,18,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,16
CHL,Chile,18,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,261
CHL,Chile,18,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2022,2022,164
FRA,France,52,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,1.2
FRA,France,52,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,8.2
ESP,Spain,28,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,90.4
ESP,Spain,28,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,-3396.6
CZE,Czech Republic,6,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-48.4
CZE,Czech Republic,6,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,79.6
CZE,Czech Republic,6,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,-55.4
CHL,Chile,4,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-0.7
CHL,Chile,4,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,16.3
CHL,Chile,4,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,11.3
NLD,Netherlands,25,MALE,Males,Total,EXCESSNB,Excess deaths (number),2020,2020,64.6
NLD,Netherlands,25,MALE,Males,Total,EXCESSNB,Excess deaths (number),2021,2021,65.6
CAN,Canada,13,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-73
CAN,Canada,13,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-3
ISL,Iceland,44,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,7.2
ISL,Iceland,44,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,8.2
CHL,Chile,19,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,6.5
CHL,Chile,19,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,14.5
CHL,Chile,19,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,2.5
GRC,Greece,10,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,82.2
GRC,Greece,10,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,41.2
GRC,Greece,10,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2022,2022,172.2
LTU,Lithuania,14,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-5.2
LTU,Lithuania,14,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,3.8
LTU,Lithuania,14,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,-7.2
FRA,France,29,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-7.8
FRA,France,29,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,39.2
GRC,Greece,48,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,24
GRC,Greece,48,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,42
CHL,Chile,41,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,59.5
CHL,Chile,41,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,78.5
ITA,Italy,24,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-20.6
ITA,Italy,24,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,52.4
CAN,Canada,37,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,304
CAN,Canada,37,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,879
FRA,France,35,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-10.4
FRA,France,35,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-12.4
FRA,France,37,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-6.4
FRA,France,37,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,20.6
ISL,Iceland,37,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,1.2
ISL,Iceland,37,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,2.2
HUN,Hungary,46,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,100.8
HUN,Hungary,46,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,161.8
ESP,Spain,29,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-4.4
ESP,Spain,29,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-192.4
DNK,Denmark,27,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,0.8
DNK,Denmark,27,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-5.2
CHL,Chile,3,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,57.5
CHL,Chile,3,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,347.5
CHL,Chile,3,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2022,2022,278.5
SWE,Sweden,20,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,417
SWE,Sweden,20,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,-26
SWE,Sweden,20,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,70
LTU,Lithuania,36,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,4.6
LTU,Lithuania,36,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,29.6
GBR,United Kingdom,52,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,3800.2
GBR,United Kingdom,52,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,570.2
FIN,Finland,32,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,26.8
FIN,Finland,32,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,114.8
CHE,Switzerland,3,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,6.8
CHE,Switzerland,3,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-1.2
CHE,Switzerland,3,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,-7.2
